formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
C3H2F6,"1,1,1,2,3,3-hexafluoropropane (R-236ea)",431-63-0,152.05,,279,412.5,,268.88,,0.382,,,,,,,,,,,,,,,,,
CH4S,methanethiol,74-93-1,48.109,150.18,279.11,470,72.3,145,0.268,0.15,50.0,1000.0,50.0-1000.0,4.119,0.001313,2.59E-05,-3.21E-08,1.21E-11,50.26,90.5,4.15653,1015.547,238.706,0.02,207.8,2,297.85
C2H7N,N-methylmethanamine ,124-40-3,45.084,180.96,280,437.2,53.4,180,0.264,,273.0,1000.0,273.0-1000.0,2.469,0.015462,2.64E-05,-4.03E-08,1.56E-11,70.5,,,,,,,,
C3H8O,methyl ethyl ether,540-67-0,60.096,160,280.5,437.8,44,221,0.267,0.236,100.0,1000.0,100.0-1000.0,4.008,0.021493,1.80E-05,-3.33E-08,1.33E-11,93.3,,3.00683,504.49,160.75,0.06,232,2,298.85
C4H6,1-butyne,107-00-6,54.092,147.29,281.21,440,46,208,0.262,0.245,50.0,1000.0,50.0-1000.0,2.995,0.0208,1.56E-05,-3.46E-08,1.52E-11,81.42,122.8,4.16676,1014.45,235.74,0.02,210.35,2,299.83
CHCl2F,dichlorofluoromethane,75-43-4,102.923,138.2,281.97,451.52,51.87,196,0.271,0.207,50.0,1000.0,50.0-1000.0,2.949,0.01713,-6.29E-06,-8.21E-09,5.73E-12,60.94,108,4.02473,959.934,230.03,0.02,210.83,2,300.91
C5H12,"2,2-dimethylpropane (neopentane)",463-82-1,72.15,256.58,282.65,433.75,31.99,303.2,0.269,0.197,200.0,1000.0,200.0-1000.0,-11.428,0.156037,-0.00033383,4.01E-07,-1.78E-10,120.8,172,3.83916,938.234,235.249,0.4,259.33,2,303.08
C2H5Cl,chloroethane,75-00-3,64.514,134.82,285.42,460.3,53,199,0.276,,200.0,1000.0,200.0-1000.0,3.029,0.009885,2.97E-05,-4.55E-08,1.87E-11,62.64,106,4.09088,1020.63,237.57,0.02,211.86,2,304.89
C4H8,cyclobutane,287-23-0,56.108,182.42,285.64,460,49.9,218,0.275,0.185,50.0,1000.0,50.0-1000.0,4.739,-0.016423,0.00014488,-1.80E-07,7.09E-11,70.56,109.3,4.04436,1025.5,241.43,0.02,210.2,2,305.67
C2H7N,ethanamine,75-04-7,45.084,192.15,289.75,456.4,56.3,181.8,0.267,0.276,50.0,1000.0,50.0-1000.0,4.64,0.002069,5.80E-05,-7.66E-08,3.04E-11,71.54,129.7,4.434,1102.88,232.45,0.02,220.53,2,307.55
FH,hydrogen fluoride,7664-39-3,20.006,189.58,292.68,461,65,69,0.117,,50.0,1000.0,50.0-1000.0,3.901,-0.003708,1.17E-05,-1.47E-08,6.39E-12,29.14,52,4.80588,1475.6,287.88,0.02,212.1,2,312.83
C3HF7,"1,1,1,2,3,3,3-heptafluoropropane ",431-89-0,170.03,,293,376,,293.15,,,,,,,,,,,,137,,,,,,,
C5H10,3-methyl-1-butene,563-45-1,70.134,104.65,293.21,452.7,35.5,304.9,0.288,0.211,298.0,1000.0,298.0-1000.0,2.108,0.041912,-4.16E-06,-1.94E-08,9.54E-12,115,156.1,3.94945,1012.37,236.647,0.02,215.73,2,221.5
